benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14053,Dutch,0.620667,5586,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-6000,Dutch,0.575222,5177,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14664,Dutch,0.621444,5593,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-7000,Dutch,0.599111,5392,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15000,Dutch,0.622778,5605,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-8000,Dutch,0.611778,5506,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15275,Dutch,0.627333,5646,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-9000,Dutch,0.629,5661,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15284,Dutch,0.629667,5667,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-10000,Dutch,0.646444,5818,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15886,Dutch,0.635333,5718,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-11000,Dutch,0.664889,5984,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-16000,Dutch,0.635889,5723,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-12000,Dutch,0.663333,5970,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-16497,Dutch,0.637667,5739,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-13000,Dutch,0.681556,6134,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17000,Dutch,0.638778,5749,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-14000,Dutch,0.676222,6086,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17108,Dutch,0.639444,5755,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-15000,Dutch,0.706111,6355,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17719,Dutch,0.647778,5830,9000
