benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4000,Ukrainian,0.47919,6885,14368
xcomps,BeetleLM/beetlelm_fra-ukr_part_time,fra-ukr,part_time,step-2000,French,0.491022,7055,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1833,Ukrainian,0.479747,6893,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-14000,Ukrainian,0.461024,6624,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2444,Ukrainian,0.48267,6935,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1833,Ukrainian,0.465479,6688,14368
xcomps,BeetleLM/beetlelm_fra-ukr_part_time,fra-ukr,part_time,step-2000,Ukrainian,0.490952,7054,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-2000,French,0.498051,7156,14368
xcomps,BeetleLM/beetlelm_bul-fra_sequential,bul-fra,sequential,step-1000,French,0.487611,7006,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-2000,French,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-1000,German,0.496311,7131,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-0,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-1000,Ukrainian,0.472648,6791,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-1000,Ukrainian,0.462138,6640,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4277,Ukrainian,0.476267,6843,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-0,Ukrainian,0.435621,6259,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-1000,Ukrainian,0.490952,7054,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-1000,Ukrainian,0.493527,7091,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-1000,Ukrainian,0.465131,6683,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-2000,Ukrainian,0.484758,6965,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-2000,Ukrainian,0.477798,6865,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4888,Ukrainian,0.467497,6717,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-2,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1,Ukrainian,0.435621,6259,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-2000,Ukrainian,0.499304,7174,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-2000,Ukrainian,0.499165,7172,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-2000,German,0.497564,7149,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-4,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-3000,Ukrainian,0.493318,7088,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-3000,Ukrainian,0.482113,6927,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-2,Ukrainian,0.435621,6259,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-5000,Ukrainian,0.47056,6761,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-2000,Ukrainian,0.465827,6693,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-3000,Ukrainian,0.49993,7183,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-3000,Ukrainian,0.498608,7164,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-8,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-4000,Ukrainian,0.488029,7012,14368
