,BeetleLM/beetlelm_bul_mono,BeetleLM/beetlelm_zho-bul_balanced,BeetleLM/beetlelm_nld-bul_balanced,BeetleLM/beetlelm_bul-ukr_balanced,BeetleLM/beetlelm_bul-ind_balanced,BeetleLM/beetlelm_bul-fra_balanced,BeetleLM/beetlelm_bul-deu_balanced,BeetleLM/beetlelm_bul-fra_simultaneous,BeetleLM/beetlelm_eng-bul_simultaneous,BeetleLM/beetlelm_bul-deu_simultaneous,BeetleLM/beetlelm_bul-ukr_sequential,BeetleLM/beetlelm_bul-fra_sequential,BeetleLM/beetlelm_bul-deu_sequential,BeetleLM/beetlelm_fas-bul_part_time,BeetleLM/beetlelm_bul-ukr_part_time,BeetleLM/beetlelm_bul-fra_part_time,BeetleLM/beetlelm_eng-bul_part_time,BeetleLM/beetlelm_bul-deu_part_time,BeetleLM/beetlelm_nld-bul_late,BeetleLM/beetlelm_zho-bul_late,BeetleLM/beetlelm_bul-ukr_late,BeetleLM/beetlelm_bul-fra_late,BeetleLM/beetlelm_bul-deu_late,BeetleLM/beetlelm_zho-bul_heritage,BeetleLM/beetlelm_nld-bul_heritage,BeetleLM/beetlelm_fas-bul_heritage,BeetleLM/beetlelm_eng-bul_heritage,BeetleLM/beetlelm_bul-ukr_heritage,BeetleLM/beetlelm_bul-fra_heritage,BeetleLM/beetlelm_bul-ind_heritage
BeetleLM/beetlelm_bul-ukr_late,0.985703868965122,0.9828433977518817,0.9823759234741071,0.9999902616490297,0.9897331974611799,0.9864618544410461,0.9840431954688559,0.9864534425835266,0.9845107653761659,0.9840730175947372,0.9999931139152761,0.986441012105459,0.9840632053898846,0.9858863457425714,0.999993252232211,0.9865140966776134,0.9845020640215775,0.9840053316210912,0.9823589940064201,0.982793358747393,0.9999999999999998,0.9864873783777328,0.98408255874936,0.9828583165909435,0.9823829413138461,0.9859195057606561,0.9845420349270374,0.9999898597840186,0.986448101108628,0.9897314801505321
BeetleLM/beetlelm_bul-fra_late,0.9884248894687999,0.9830757361038959,0.9888572483809199,0.9862288547489686,0.9898046834696193,0.999991670524206,0.9851342585696893,0.9999934291370725,0.9869305029880747,0.9851497483470206,0.9862843139626974,0.9999924143375397,0.9851567008430865,0.9895542205876817,0.9862871542262446,0.9999957037423404,0.9869291344597267,0.9851382967437842,0.9888957901483365,0.9829960137418683,0.9864873783777328,1.0000000000000002,0.9851778671457391,0.9831730576053994,0.9888646536228992,0.9895706445728744,0.9869403535917468,0.986213104187193,0.9999929570985311,0.9897892290954629
BeetleLM/beetlelm_bul-deu_late,0.984404461135404,0.9813104094053487,0.9811810005838917,0.9839661667183944,0.9844848821571958,0.9852060013553845,0.9999961435501089,0.9852309988467984,0.9838419275111033,0.9999968108467586,0.9840227123702273,0.9852232607757558,0.9999977651407193,0.9863372442520801,0.9840287026785132,0.985324479704447,0.9838716821606425,0.999998404410721,0.9811835306610054,0.9811828340552576,0.98408255874936,0.9851778671457391,0.9999999999999998,0.9812770668738716,0.9812105759563388,0.9863564748968777,0.9838326723803518,0.9839866986846567,0.9852236178302134,0.9844673778316483
BeetleLM/beetlelm_zho-bul_heritage,0.9861380705522746,0.9999943195468922,0.987286984386595,0.9826350886800375,0.9834751562565632,0.9830932024624213,0.9811884944271744,0.9830917427549871,0.9841706647442582,0.9812029002599161,0.9827160940885,0.9830739496890846,0.9812075404602932,0.9862598639420329,0.9827422746541803,0.9831720017298298,0.9841868069767411,0.9812158248128279,0.9872798508753562,0.9999956513425576,0.9828583165909435,0.9831730576053994,0.9812770668738716,1.0000000000000004,0.9872935398789586,0.9862739419512289,0.984182188960058,0.9826387289516395,0.9830862075621849,0.9834726306162437
BeetleLM/beetlelm_nld-bul_heritage,0.9899901995841619,0.9873980474540276,0.999996094782476,0.9820380689259546,0.986480382775081,0.9887031207229227,0.9810835766944963,0.9887415012389202,0.9892057368366423,0.9810996309556731,0.9821402159285257,0.9887047461785833,0.9811045163023975,0.9895889903665167,0.9821689850203682,0.9888860699617339,0.9892272185986534,0.9811287034964845,0.9999903888384232,0.9872484645489499,0.9823829413138461,0.9888646536228992,0.9812105759563388,0.9872935398789586,1.0,0.989604023037723,0.9892077218540641,0.9820399996019789,0.9887226474817042,0.9864667571139623
BeetleLM/beetlelm_fas-bul_heritage,0.9891271846106491,0.986277048341709,0.9895776608270316,0.9857011546699358,0.9876325381576287,0.9894668081059286,0.9862539596206318,0.989475082347886,0.9879769049467197,0.9862692419040356,0.985759745542438,0.9894721020961036,0.9862820480958338,0.9999989958904271,0.9857882781614523,0.9895479162092656,0.9879906048137282,0.9862911383114015,0.9896398372180057,0.986229850198017,0.9859195057606561,0.9895706445728744,0.9863564748968777,0.9862739419512289,0.989604023037723,1.0,0.9879889994101826,0.9856959628504491,0.9894741437500304,0.9876250631419908
BeetleLM/beetlelm_eng-bul_heritage,0.9857879097182306,0.9841552391815648,0.9892274534258513,0.9843689288045595,0.9868894824309664,0.9868415897253798,0.9837376047343899,0.9868695640578087,0.9999997881142192,0.9837510781354105,0.9844080365450109,0.9868344576388158,0.9837491008432562,0.9879875944069176,0.9844267151109,0.9869486950484747,0.9999977520576652,0.9837537908118207,0.9892020852989755,0.9841127713803148,0.9845420349270374,0.9869403535917468,0.9838326723803518,0.984182188960058,0.9892077218540641,0.9879889994101826,1.0000000000000002,0.9843709785196717,0.9868577299804587,0.9868793527562768
BeetleLM/beetlelm_bul-ukr_heritage,0.9854353459221644,0.9826180733407952,0.9820308636132813,0.9999998220283443,0.9894699048437459,0.9861982032928301,0.9839532883270975,0.9861886779290538,0.9843399828458732,0.9839833320974392,0.9999991978860784,0.986177091041119,0.9839726715963365,0.9856637626794965,0.9999981223496553,0.9862436257420323,0.9843319874127626,0.9839128754861396,0.982018509413044,0.9825762836596305,0.9999898597840186,0.986213104187193,0.9839866986846567,0.9826387289516395,0.9820399996019789,0.9856959628504491,0.9843709785196717,1.0,0.986183757197525,0.989468182561511
BeetleLM/beetlelm_bul-fra_heritage,0.9882835761930279,0.9829832089570076,0.9887133294059302,0.9861993386837389,0.9897091679951285,0.9999995970569263,0.9851863742217523,0.9999999292816598,0.9868485337389541,0.9852014594549033,0.9862538087906164,0.999999751929333,0.9852075909653759,0.9894595042681609,0.9862547177529113,0.9999957024947175,0.9868491134025568,0.9851876056406871,0.9887584612915276,0.9829113610733657,0.986448101108628,0.9999929570985311,0.9852236178302134,0.9830862075621849,0.9887226474817042,0.9894741437500304,0.9868577299804587,0.986183757197525,1.0000000000000002,0.9896933994431911
BeetleLM/beetlelm_bul-ind_heritage,0.9897581353474145,0.9835157883265423,0.9864993804272019,0.9894595020664141,0.9999999234173015,0.9896926436695025,0.9843508394414962,0.9896981038970096,0.9868771499724954,0.9843775834089231,0.9894942255768268,0.9896818130236834,0.9843842459396465,0.9876008228313331,0.9895180751637228,0.989747337465416,0.986862298501933,0.9843778906668136,0.9864514656611256,0.983414472819122,0.9897314801505321,0.9897892290954629,0.9844673778316483,0.9834726306162437,0.9864667571139623,0.9876250631419908,0.9868793527562768,0.989468182561511,0.9896933994431911,1.0
